"","Region","Country","pos","neg","tot","prev","lower","upper","prob","power"
"1","Western Africa","Benin",0,138,138,0,0,2.63768993409614,1.03710067517665e-07,0.999999896289932
"2","Western Africa","Burkina Faso",0,5,5,0,0,52.1823750104981,0.5584059449,0.4415940551
"3","Eastern Africa","Burundi",123,44,167,73.6526946107784,66.2882451985315,80.1574535701673,3.53289808793539e-09,0.999999996467102
"4","Central Africa","Cameroon",307,1152,1459,21.0418094585332,18.9759853382355,23.2248848824836,1.44550532183755e-74,1
"5","Central Africa","Central African Republic",0,3,3,0,0,70.7598226178713,0.704969,0.295031
"6","Central Africa","Congo",4,34,38,10.5263157894737,2.94345174457878,24.8049379217022,0.0119349403426361,0.988065059657364
"7","Western Africa","Cote D'Ivoire",0,62,62,0,0,5.7762634429291,0.000728082197222201,0.999271917802778
"8","Central Africa","Democratic Republic of the Congo",183,765,948,19.3037974683544,16.8371154829096,21.9627792943638,1.05129911635383e-48,1
"9","Central Africa","Equatorial Guinea",0,31,31,0,0,11.218874692237,0.0269829982993403,0.97301700170066
"10","Eastern Africa","Ethiopia",51,69,120,42.5,33.5255948037361,51.8534993612838,8.44891220751754e-07,0.999999155108779
"11","Central Africa","Gabon",142,689,831,17.0878459687124,14.5888625977132,19.8227333696673,8.77193736369287e-43,1
"12","Western Africa","Ghana",1,297,298,0.335570469798658,0.00849554782745593,1.85540039694448,8.28365456521287e-16,0.999999999999999
"13","Western Africa","Guinea",0,300,300,0,0,1.22209746942935,6.56148278110515e-16,0.999999999999999
"14","Eastern Africa","Kenya",271,590,861,31.4750290360046,28.3827470048744,34.6947041191027,2.65947383108366e-44,1
"15","Southern Africa","Lesotho",8,3,11,72.7272727272727,39.0257440427579,93.9782265827093,0.277517307376699,0.722482692623301
"16","Western Africa","Liberia",0,16,16,0,0,20.5907214207823,0.154967314251789,0.845032685748211
"17","Eastern Africa","Malawi",14,62,76,18.4210526315789,10.4532760415633,28.9715601955871,0.000142442800982283,0.999857557199018
"18","Northern Africa","Morocco",8,386,394,2.03045685279188,0.880585072147074,3.96146954849735,1.14726202409566e-20,1
"19","Eastern Africa","Mozambique",1,129,130,0.769230769230769,0.0194733406098336,4.21127390146619,2.63451614167684e-07,0.999999736548386
"20","Western Africa","Nigeria",493,801,1294,38.0989180834621,35.4438802126532,40.8081574954475,3.24092214643155e-66,1
"21","Eastern Africa","Rwanda",38,184,222,17.1171171171171,12.4069427809189,22.7289787708727,5.81542521495574e-12,0.999999999994185
"22","Central Africa","Sao Tome and Principe",70,395,465,15.0537634408602,11.926963100498,18.6328940880686,2.92653073745579e-24,1
"23","Western Africa","Sierra Leone",0,15,15,0,0,21.8019360910534,0.174120577810999,0.825879422189001
"24","Southern Africa","South Africa",309,775,1084,28.5055350553506,25.8333623276312,31.2949221320759,1.3764714346461e-55,1
"25","Eastern Africa","Tanzania",56,874,930,6.02150537634409,4.58027815481458,7.74851598358957,8.56458215727354e-48,1
"26","Western Africa","The Gambia",0,2,2,0,0,84.1886116991581,0.7921,0.2079
"27","Eastern Africa","Uganda",67,283,350,19.1428571428571,15.1545839242581,23.6622382581121,1.93420421657813e-18,1
"28","Eastern Africa","Zambia",0,68,68,0,0,5.28030427936398,0.000361843230301211,0.999638156769699
"29","TOTAL AFRICA","AFRICA",1735,5839,7574,22.9073144969633,21.9648700763173,23.8706521512482,0,1
